date,category,total_words,risk_words,risk_percentage,severity
2025-12-28,AI safety,5,0,0.0,🟢 LOW
2025-12-28,AI regulation,5,1,20.0,🔴 HIGH
2025-12-28,AI bias,5,0,0.0,🟢 LOW
2025-12-28,AI misuse,5,0,0.0,🟢 LOW
2025-12-28,AI safety,5,0,0.0,🟢 LOW
2025-12-28,AI regulation,5,1,20.0,🔴 HIGH
2025-12-28,AI bias,5,0,0.0,🟢 LOW
2025-12-28,AI misuse,5,0,0.0,🟢 LOW
2025-12-28,AI safety,5,0,0.0,🟢 LOW
2025-12-28,AI regulation,5,1,20.0,🔴 HIGH
2025-12-28,AI bias,5,0,0.0,🟢 LOW
2025-12-28,AI misuse,5,0,0.0,🟢 LOW
2025-12-28,AI safety,6,0,0.0,🟢 LOW
2025-12-28,AI regulation,6,0,0.0,🟢 LOW
2025-12-28,AI bias,6,0,0.0,🟢 LOW
2025-12-28,AI misuse,6,0,0.0,🟢 LOW
2025-12-28,AI safety,10,0,0.0,🟢 LOW
2025-12-28,AI regulation,10,0,0.0,🟢 LOW
2025-12-28,AI bias,10,0,0.0,🟢 LOW
2025-12-28,AI misuse,10,0,0.0,🟢 LOW
2025-12-28,AI safety,11,0,0.0,🟢 LOW
2025-12-28,AI regulation,11,0,0.0,🟢 LOW
2025-12-28,AI bias,11,0,0.0,🟢 LOW
2025-12-28,AI misuse,11,0,0.0,🟢 LOW
2025-12-28,AI safety,10,0,0.0,🟢 LOW
2025-12-28,AI regulation,10,0,0.0,🟢 LOW
2025-12-28,AI bias,10,0,0.0,🟢 LOW
2025-12-28,AI misuse,10,0,0.0,🟢 LOW
2025-12-28,AI safety,12,0,0.0,🟢 LOW
2025-12-28,AI regulation,12,0,0.0,🟢 LOW
2025-12-28,AI bias,12,0,0.0,🟢 LOW
2025-12-28,AI misuse,12,0,0.0,🟢 LOW
2025-12-28,AI safety,10,0,0.0,🟢 LOW
2025-12-28,AI regulation,10,0,0.0,🟢 LOW
2025-12-28,AI bias,10,0,0.0,🟢 LOW
2025-12-28,AI misuse,10,0,0.0,🟢 LOW
2025-12-28,AI safety,7,0,0.0,🟢 LOW
2025-12-28,AI regulation,7,0,0.0,🟢 LOW
2025-12-28,AI bias,7,0,0.0,🟢 LOW
2025-12-28,AI misuse,7,1,14.29,🔴 HIGH
2025-12-28,AI safety,9,0,0.0,🟢 LOW
2025-12-28,AI regulation,9,0,0.0,🟢 LOW
2025-12-28,AI bias,9,0,0.0,🟢 LOW
2025-12-28,AI misuse,9,0,0.0,🟢 LOW
2025-12-28,AI safety,14,0,0.0,🟢 LOW
2025-12-28,AI regulation,14,0,0.0,🟢 LOW
2025-12-28,AI bias,14,0,0.0,🟢 LOW
2025-12-28,AI misuse,14,0,0.0,🟢 LOW
2025-12-28,AI safety,10,0,0.0,🟢 LOW
2025-12-28,AI regulation,10,0,0.0,🟢 LOW
2025-12-28,AI bias,10,0,0.0,🟢 LOW
2025-12-28,AI misuse,10,0,0.0,🟢 LOW
2025-12-28,AI safety,13,0,0.0,🟢 LOW
2025-12-28,AI regulation,13,0,0.0,🟢 LOW
2025-12-28,AI bias,13,0,0.0,🟢 LOW
2025-12-28,AI misuse,13,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
2025-12-28,AI regulation,1,0,0.0,🟢 LOW
2025-12-28,AI bias,1,0,0.0,🟢 LOW
2025-12-28,AI misuse,1,0,0.0,🟢 LOW
2025-12-28,AI safety,1,0,0.0,🟢 LOW
