date,category,total_words,risk_words,risk_percentage,severity,trend
2025-12-14,AI bias,268,0,0.0,🟢 LOW,NEW
2025-12-14,AI misuse,268,0,0.0,🟢 LOW,NEW
2025-12-14,AI regulation,268,1,0.10471204188481675,🟢 LOW,NEW
2025-12-14,AI safety,268,0,0.0,🟢 LOW,NEW
2025-12-15,AI bias,502,0,0.0,🟢 LOW,NEW
2025-12-15,AI misuse,502,0,0.0,🟢 LOW,NEW
2025-12-15,AI regulation,502,2,0.10582010582010581,🟢 LOW,NEW
2025-12-15,AI safety,502,1,0.026455026455026454,🟢 LOW,NEW
2025-12-16,AI bias,759,0,0.0,🟢 LOW,NEW
2025-12-16,AI misuse,759,0,0.0,🟢 LOW,NEW
2025-12-16,AI regulation,759,3,0.10582010582010581,🟢 LOW,NEW
2025-12-16,AI safety,759,1,0.01763668430335097,🟢 LOW,NEW
2025-12-17,AI bias,1044,0,0.0,🟢 LOW,NEW
2025-12-17,AI misuse,1044,0,0.0,🟢 LOW,NEW
2025-12-17,AI regulation,1044,4,0.10554089709762533,🟢 LOW,NEW
2025-12-17,AI safety,1044,1,0.013192612137203167,🟢 LOW,NEW
2025-12-18,AI bias,1342,0,0.0,🟢 LOW,NEW
2025-12-18,AI misuse,1342,1,0.015026288117770766,🟢 LOW,NEW
2025-12-18,AI regulation,1342,5,0.10515247108307045,🟢 LOW,NEW
2025-12-18,AI safety,1342,1,0.010515247108307046,🟢 LOW,NEW
2025-12-19,AI bias,1627,0,0.0,🟢 LOW,NEW
2025-12-19,AI misuse,1627,1,0.012502187226596675,🟢 LOW,NEW
2025-12-19,AI regulation,1627,7,0.11957130358705163,🟢 LOW,NEW
2025-12-19,AI safety,1627,1,0.008748906386701663,🟢 LOW,NEW
2025-12-20,AI bias,1883,0,0.0,🟢 LOW,NEW
2025-12-20,AI misuse,1883,1,0.010720180045011253,🟢 LOW,NEW
2025-12-20,AI regulation,1883,8,0.1175318829707427,🟢 LOW,NEW
2025-12-20,AI safety,1883,1,0.007501875468867217,🟢 LOW,NEW
2025-12-21,AI bias,2115,0,0.0,🟢 LOW,NEW
2025-12-21,AI misuse,2115,1,0.009407504937458854,🟢 LOW,NEW
2025-12-21,AI regulation,2115,9,0.11630678077682687,🟢 LOW,NEW
2025-12-21,AI safety,2115,1,0.0065832784726793945,🟢 LOW,NEW
2025-12-22,AI bias,2349,0,0.0,🟢 LOW,NEW
2025-12-22,AI misuse,2349,1,0.008376318874560374,🟢 LOW,NEW
2025-12-22,AI regulation,2349,10,0.11528135990621337,🟢 LOW,NEW
2025-12-22,AI safety,2349,1,0.005861664712778429,🟢 LOW,NEW
2025-12-23,AI bias,2589,0,0.0,🟢 LOW,NEW
2025-12-23,AI misuse,2589,1,0.007548864236661384,🟢 LOW,NEW
2025-12-23,AI regulation,2589,11,0.11445853143159007,🟢 LOW,NEW
2025-12-23,AI safety,2589,1,0.005282620179609086,🟢 LOW,NEW
2025-12-24,AI bias,2833,0,0.0,🟢 LOW,NEW
2025-12-24,AI misuse,2833,1,0.006866890917827967,🟢 LOW,NEW
2025-12-24,AI regulation,2833,12,0.11372897645362808,🟢 LOW,NEW
2025-12-24,AI safety,2833,1,0.004805382027871216,🟢 LOW,NEW
2025-12-25,AI bias,3063,0,0.0,🟢 LOW,NEW
2025-12-25,AI misuse,3063,1,0.006300705467372133,🟢 LOW,NEW
2025-12-25,AI regulation,3063,13,0.11317019400352735,🟢 LOW,NEW
2025-12-25,AI safety,3063,2,0.015432098765432098,🟢 LOW,NEW
2025-12-26,AI bias,3317,0,0.0,🟢 LOW,NEW
2025-12-26,AI misuse,3317,1,0.00581366965012205,🟢 LOW,NEW
2025-12-26,AI regulation,3317,14,0.11255899104963385,🟢 LOW,NEW
2025-12-26,AI safety,3317,3,0.019324654190398697,🟢 LOW,NEW
2025-12-27,AI bias,3562,0,0.0,🟢 LOW,NEW
2025-12-27,AI misuse,3562,1,0.0054026465028355385,🟢 LOW,NEW
2025-12-27,AI regulation,3562,15,0.11216257088846882,🟢 LOW,NEW
2025-12-27,AI safety,3562,4,0.022684310018903593,🟢 LOW,NEW
2025-12-28,AI bias,3782,0,0.0,🟢 LOW,NEW
2025-12-28,AI misuse,3782,1,0.00504590395480226,🟢 LOW,NEW
2025-12-28,AI regulation,3782,17,0.11453389830508474,🟢 LOW,NEW
2025-12-28,AI safety,3782,4,0.0211864406779661,🟢 LOW,NEW
