date,category,total_words,risk_words,risk_percentage,severity,trend
2025-12-14,AI bias,268,0,0.0,🟢 LOW,➖
2025-12-14,AI misuse,268,0,0.0,🟢 LOW,➖
2025-12-14,AI regulation,268,1,0.1047120418848167,🟢 LOW,➖
2025-12-14,AI safety,268,0,0.0,🟢 LOW,➖
2025-12-21,AI bias,9272,0,0.0,🟢 LOW,➖
2025-12-21,AI misuse,9272,4,0.0068080229038339005,🟢 LOW,➖
2025-12-21,AI regulation,9272,38,0.11082050673650405,🟢 LOW,➖
2025-12-21,AI safety,9272,7,0.012947661476019359,🟢 LOW,➖
2025-12-28,AI bias,21495,0,0.0,🟢 LOW,➖
2025-12-28,AI misuse,21495,7,0.006479285657740186,🟢 LOW,➖
2025-12-28,AI regulation,21495,92,0.11369921743402085,🟢 LOW,➖
2025-12-28,AI safety,21495,16,0.013511024367565544,🟢 LOW,➖
2026-01-04,AI bias,33156,0,0.0,🟢 LOW,➖
2026-01-04,AI misuse,33156,7,0.004033282648148514,🟢 LOW,➖
2026-01-04,AI regulation,33156,154,0.11482433267514057,🟢 LOW,➖
2026-01-04,AI safety,33156,37,0.020110070041336445,🟢 LOW,➖
2026-01-11,AI bias,5694,0,0.0,🟢 LOW,➖
2026-01-11,AI misuse,5694,1,0.0032987072945521,🟢 LOW,➖
2026-01-11,AI regulation,5694,26,0.1133494921514312,🟢 LOW,➖
2026-01-11,AI safety,5694,6,0.0180632502308402,🟢 LOW,➖
